MatchID,InningsNo,TeamID,PlayerID,PlayerName,PlayerImage,PlayingOrder,MatchPlayingOrder,BowlerName,OutDesc,ShortOutDesc,Runs,Balls,DotBalls,DotBallPercentage,DotBallFrequency,Ones,Twos,Threes,Fours,Sixes,BoundaryPercentage,BoundaryFrequency,StrikeRate,MinOver,MinStrikerOver,WicketNo,AgainstFast,AgainstSpin,AgainstFastPercent,AgainstSpinPercent,PLAYER_ID
1354,1,19,2018-wicb00000000002-47ea5a6ae99a11,Virat Kohli ,https://scores.iplt20.com/ipl/playerimages/a3RNqA3e5J17110081032.png,1.0,2,Mustafizur Rahman,c Rachin Ravindra b Mustafizur Rahman,c Rachin Ravindra b Mustafizur Rahman,21,20,6,30.00,3.33,11,2,0,0,1,28.57,20.00,105.00,0,0,4,4,16,20.00,80.00,2
1354,1,19,2019-100mb00000000094-1e8fa14543ee11,Faf Du Plessis (c),https://scores.iplt20.com/ipl/playerimages/7bYSLKJKQM171100953594.png,2.0,1,Mustafizur Rahman,c Rachin Ravindra b Mustafizur Rahman,c Rachin Ravindra b Mustafizur Rahman,35,23,12,52.17,1.92,3,0,0,8,0,91.43,2.88,152.17,0,0,5,20,3,86.96,13.04,94
1354,1,19,2021-100mb00000000597-a0edfee691e511,Rajat Patidar ,https://scores.iplt20.com/ipl/playerimages/etgAYU3yll1711009471597.png,3.0,3,Mustafizur Rahman,c MS Dhoni b Mustafizur Rahman,c MS Dhoni b Mustafizur Rahman,0,3,3,100.00,1.00,0,0,0,0,0,,,0.00,0,0,3,3,0,100.00,0.00,597
1354,1,19,2018-100mb00000000028-acc7d0a3e99d11,Glenn Maxwell ,https://scores.iplt20.com/ipl/playerimages/CfuajTsWdr171100814128.png,4.0,4,Deepak Chahar,c MS Dhoni b Deepak Chahar,c MS Dhoni b Deepak Chahar,0,1,1,100.00,1.00,0,0,0,0,0,,,0.00,0,0,1,1,0,100.00,0.00,28
1354,1,19,2020-100mb00000000550-247665a42ff311,Cameron Green ,https://scores.iplt20.com/ipl/playerimages/3pTZg5UXcn1711009401550.png,5.0,5,Mustafizur Rahman,b Mustafizur Rahman,b Mustafizur Rahman,18,22,9,40.91,2.44,10,2,0,1,0,22.22,22.00,81.82,0,0,9,5,17,22.73,77.27,550
1354,1,19,2020-100mb00000000534-1ea324c4639911,Anuj Rawat (wk),https://scores.iplt20.com/ipl/playerimages/33bkamzpo71711009391534.png,6.0,7,Tushar Deshpande,run out (MS Dhoni),run out (MS Dhoni),48,25,5,20.00,5.00,12,1,0,4,3,70.83,3.57,192.00,0,0,2,19,6,76.00,24.00,534
1354,1,19,2018-100mb00000000013-1031ba8ae99c11,Dinesh Karthik  (RP),https://scores.iplt20.com/ipl/playerimages/JCXtEQbAYN171100789113.png,7.0,11,,not out,not out,38,26,8,30.77,3.25,12,1,0,3,2,63.16,5.20,146.15,0,0,,20,6,76.92,23.08,13
1354,1,19,2022-100mb00000000978-bc824605a44611,Yash Dayal  (IP),https://scores.iplt20.com/ipl/playerimages/TcWxpwQ09F1711009550978.png,,6,,,,0,0,0,,,0,0,0,0,0,,,-,1000,1000,,0,0,,,978
1354,1,19,2019-100mb00000000098-7a8c366b43f611,Karn Sharma ,https://scores.iplt20.com/ipl/playerimages/ZgxbczBAgO171100956198.png,,8,,,,0,0,0,,,0,0,0,0,0,,,-,1000,1000,,0,0,,,98
1354,1,19,2019-100mb00000000229-75a4b0a0516011,Alzarri Joseph ,https://scores.iplt20.com/ipl/playerimages/tvFHwpHaWu1711008131229.png,,9,,,,0,0,0,,,0,0,0,0,0,,,-,1000,1000,,0,0,,,229
