KPI,BatsManID,BowlerID,BatsManName,BowlerName,Runs,RunsThroughExtras,TotalRuns,BallsFaced,StrikeRate,DotBalls,DBPercent,DotBallFrequency,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,BdryFreq,BdryPercent,WicketLost,RPSS
Head To Head,2018-100mb00000000013-1031ba8ae99c11,2018-100mb00000000046-06b5ba89f88b11,Dinesh Karthik,Ravindra Jadeja,1,1,2,2,100.00,0,50.00,2.00,1,1,0,0,0,0,0.00,0.00,0,2.00
Head To Head,2018-100mb00000000013-1031ba8ae99c11,2019-100mb00000000091-8640595343ec11,Dinesh Karthik,Deepak Chahar,2,0,2,2,100.00,0,0.00,0.00,2,2,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2018-100mb00000000013-1031ba8ae99c11,2019-100mb00000000258-e46e7f697acb11,Dinesh Karthik,Mustafizur Rahman,9,3,12,7,171.43,1,28.57,3.50,5,3,1,0,1,0,7.00,33.33,0,2.40
Head To Head,2018-100mb00000000013-1031ba8ae99c11,2020-100mb00000000539-04833b65639b11,Dinesh Karthik,Tushar Deshpande,14,4,18,11,163.64,5,45.45,2.20,6,4,0,0,1,1,5.50,55.56,1,3.00
Head To Head,2018-100mb00000000013-1031ba8ae99c11,2021-100mb00000000629-11c540100bd311,Dinesh Karthik,Maheesh Theekshana,12,0,12,4,300.00,0,0.00,0.00,4,2,0,0,1,1,2.00,83.33,0,3.00
Head To Head,2018-100mb00000000028-acc7d0a3e99d11,2019-100mb00000000091-8640595343ec11,Glenn Maxwell,Deepak Chahar,0,0,0,1,0.00,1,100.00,1.00,0,0,0,0,0,0,0.00,0.00,1,0.00
Head To Head,2018-wicb00000000002-47ea5a6ae99a11,2018-100mb00000000046-06b5ba89f88b11,Virat Kohli,Ravindra Jadeja,4,0,4,7,57.14,3,42.86,2.33,4,4,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2018-wicb00000000002-47ea5a6ae99a11,2019-100mb00000000091-8640595343ec11,Virat Kohli,Deepak Chahar,2,1,3,3,100.00,1,33.33,3.00,2,2,0,0,0,0,0.00,0.00,0,1.50
Head To Head,2018-wicb00000000002-47ea5a6ae99a11,2019-100mb00000000258-e46e7f697acb11,Virat Kohli,Mustafizur Rahman,0,0,0,1,0.00,1,100.00,1.00,0,0,0,0,0,0,0.00,0.00,1,0.00
Head To Head,2018-wicb00000000002-47ea5a6ae99a11,2021-100mb00000000629-11c540100bd311,Virat Kohli,Maheesh Theekshana,15,0,15,9,166.67,1,11.11,9.00,8,5,2,0,0,1,9.00,40.00,0,1.88
Head To Head,2019-100mb00000000094-1e8fa14543ee11,2019-100mb00000000091-8640595343ec11,Faf Du Plessis,Deepak Chahar,21,1,22,11,200.00,5,45.45,2.20,6,1,0,0,5,0,2.20,90.91,0,3.67
Head To Head,2019-100mb00000000094-1e8fa14543ee11,2019-100mb00000000258-e46e7f697acb11,Faf Du Plessis,Mustafizur Rahman,4,0,4,3,133.33,2,66.67,1.50,1,0,0,0,1,0,3.00,100.00,1,4.00
Head To Head,2019-100mb00000000094-1e8fa14543ee11,2020-100mb00000000539-04833b65639b11,Faf Du Plessis,Tushar Deshpande,9,0,9,6,150.00,3,50.00,2.00,3,1,0,0,2,0,3.00,88.89,0,3.00
Head To Head,2019-100mb00000000094-1e8fa14543ee11,2021-100mb00000000629-11c540100bd311,Faf Du Plessis,Maheesh Theekshana,1,1,2,3,66.67,1,66.67,1.50,1,1,0,0,0,0,0.00,0.00,0,2.00
Head To Head,2020-100mb00000000534-1ea324c4639911,2018-100mb00000000046-06b5ba89f88b11,Anuj Rawat,Ravindra Jadeja,5,0,5,4,125.00,0,0.00,0.00,4,3,1,0,0,0,0.00,0.00,0,1.25
Head To Head,2020-100mb00000000534-1ea324c4639911,2019-100mb00000000091-8640595343ec11,Anuj Rawat,Deepak Chahar,10,0,10,4,250.00,0,0.00,0.00,4,2,0,0,2,0,2.00,80.00,0,2.50
Head To Head,2020-100mb00000000534-1ea324c4639911,2019-100mb00000000258-e46e7f697acb11,Anuj Rawat,Mustafizur Rahman,13,0,13,8,162.50,3,37.50,2.67,5,3,0,0,1,1,4.00,76.92,0,2.60
Head To Head,2020-100mb00000000534-1ea324c4639911,2020-100mb00000000539-04833b65639b11,Anuj Rawat,Tushar Deshpande,18,2,20,7,285.71,2,28.57,3.50,5,2,0,0,1,2,2.33,80.00,0,4.00
Head To Head,2020-100mb00000000534-1ea324c4639911,2021-100mb00000000629-11c540100bd311,Anuj Rawat,Maheesh Theekshana,2,0,2,2,100.00,0,0.00,0.00,2,2,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2020-100mb00000000550-247665a42ff311,2018-100mb00000000046-06b5ba89f88b11,Cameron Green,Ravindra Jadeja,11,0,11,11,100.00,4,36.36,2.75,7,5,1,0,1,0,11.00,36.36,0,1.57
Head To Head,2020-100mb00000000550-247665a42ff311,2019-100mb00000000091-8640595343ec11,Cameron Green,Deepak Chahar,0,0,0,3,0.00,3,100.00,1.00,0,0,0,0,0,0,0.00,0.00,0,0.00
Head To Head,2020-100mb00000000550-247665a42ff311,2019-100mb00000000258-e46e7f697acb11,Cameron Green,Mustafizur Rahman,1,0,1,2,50.00,1,50.00,2.00,1,1,0,0,0,0,0.00,0.00,1,1.00
Head To Head,2020-100mb00000000550-247665a42ff311,2021-100mb00000000629-11c540100bd311,Cameron Green,Maheesh Theekshana,6,0,6,6,100.00,1,16.67,6.00,5,4,1,0,0,0,0.00,0.00,0,1.20
Head To Head,2021-100mb00000000597-a0edfee691e511,2019-100mb00000000258-e46e7f697acb11,Rajat Patidar,Mustafizur Rahman,0,0,0,3,0.00,3,100.00,1.00,0,0,0,0,0,0,0.00,0.00,1,0.00
Head To Head,2018-100mb00000000044-e03a43dbf88a11,2019-100mb00000000098-7a8c366b43f611,Ajinkya Rahane,Karn Sharma,4,0,4,5,80.00,2,40.00,2.50,3,2,1,0,0,0,0.00,0.00,0,1.33
Head To Head,2018-100mb00000000044-e03a43dbf88a11,2019-100mb00000000229-75a4b0a0516011,Ajinkya Rahane,Alzarri Joseph,1,0,1,2,50.00,1,50.00,2.00,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2018-100mb00000000044-e03a43dbf88a11,2020-100mb00000000550-247665a42ff311,Ajinkya Rahane,Cameron Green,6,1,7,2,350.00,1,50.00,2.00,1,0,0,0,0,1,2.00,85.71,1,7.00
Head To Head,2018-100mb00000000044-e03a43dbf88a11,2022-100mb00000000978-bc824605a44611,Ajinkya Rahane,Yash Dayal,13,0,13,6,216.67,2,33.33,3.00,4,0,2,1,0,1,6.00,46.15,0,3.25
Head To Head,2018-100mb00000000044-e03a43dbf88a11,2022-100mb00000001547-613ed5ea54ee11,Ajinkya Rahane,Mayank Dagar,3,0,3,4,75.00,1,25.00,4.00,3,3,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2018-100mb00000000046-06b5ba89f88b11,2018-100mb00000000028-acc7d0a3e99d11,Ravindra Jadeja,Glenn Maxwell,7,0,7,3,233.33,1,33.33,3.00,2,1,0,0,0,1,3.00,85.71,0,3.50
Head To Head,2018-100mb00000000046-06b5ba89f88b11,2019-100mb00000000063-d9aa7a01187311,Ravindra Jadeja,Mohammed Siraj,6,0,6,4,150.00,0,0.00,0.00,4,2,2,0,0,0,0.00,0.00,0,1.50
Head To Head,2018-100mb00000000046-06b5ba89f88b11,2019-100mb00000000229-75a4b0a0516011,Ravindra Jadeja,Alzarri Joseph,6,0,6,4,150.00,0,0.00,0.00,4,2,2,0,0,0,0.00,0.00,0,1.50
Head To Head,2018-100mb00000000046-06b5ba89f88b11,2020-100mb00000000550-247665a42ff311,Ravindra Jadeja,Cameron Green,6,1,7,6,116.67,1,16.67,6.00,5,4,1,0,0,0,0.00,0.00,0,1.40
Head To Head,2019-100mb00000000083-a7fea83029c211,2019-100mb00000000098-7a8c366b43f611,Daryl Mitchell,Karn Sharma,14,0,14,5,280.00,1,20.00,5.00,4,2,0,0,0,2,2.50,85.71,0,3.50
Head To Head,2019-100mb00000000083-a7fea83029c211,2019-100mb00000000229-75a4b0a0516011,Daryl Mitchell,Alzarri Joseph,4,0,4,3,133.33,0,0.00,0.00,3,2,1,0,0,0,0.00,0.00,0,1.33
Head To Head,2019-100mb00000000083-a7fea83029c211,2020-100mb00000000550-247665a42ff311,Daryl Mitchell,Cameron Green,1,0,1,2,50.00,1,50.00,2.00,1,1,0,0,0,0,0.00,0.00,1,1.00
Head To Head,2019-100mb00000000083-a7fea83029c211,2022-100mb00000001547-613ed5ea54ee11,Daryl Mitchell,Mayank Dagar,3,0,3,8,37.50,5,62.50,1.60,3,3,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000102-28e7fca043fc11,2019-100mb00000000063-d9aa7a01187311,Ruturaj Gaikwad,Mohammed Siraj,10,0,10,8,125.00,4,50.00,2.00,4,2,0,0,2,0,4.00,80.00,0,2.50
Head To Head,2019-100mb00000000102-28e7fca043fc11,2022-100mb00000000978-bc824605a44611,Ruturaj Gaikwad,Yash Dayal,5,0,5,7,71.43,5,71.43,1.40,2,1,0,0,1,0,7.00,80.00,1,2.50
Head To Head,2019-100mb00000000211-dc1f6a2544bb11,2018-100mb00000000028-acc7d0a3e99d11,Shivam Dube,Glenn Maxwell,0,0,0,3,0.00,3,100.00,1.00,0,0,0,0,0,0,0.00,0.00,0,0.00
Head To Head,2019-100mb00000000211-dc1f6a2544bb11,2019-100mb00000000063-d9aa7a01187311,Shivam Dube,Mohammed Siraj,9,0,9,8,112.50,5,62.50,1.60,3,1,0,0,2,0,4.00,88.89,0,3.00
Head To Head,2019-100mb00000000211-dc1f6a2544bb11,2019-100mb00000000229-75a4b0a0516011,Shivam Dube,Alzarri Joseph,14,11,25,9,277.78,1,33.33,3.00,6,4,0,0,1,1,4.50,40.00,0,4.17
Head To Head,2019-100mb00000000211-dc1f6a2544bb11,2020-100mb00000000550-247665a42ff311,Shivam Dube,Cameron Green,11,1,12,8,150.00,2,25.00,4.00,6,4,0,1,1,0,8.00,33.33,0,2.00
Head To Head,2021-100mb00000000724-7645abdd460011,2019-100mb00000000063-d9aa7a01187311,Rachin Ravindra,Mohammed Siraj,12,1,13,4,325.00,0,0.00,0.00,4,2,0,0,1,1,2.00,76.92,0,3.25
Head To Head,2021-100mb00000000724-7645abdd460011,2019-100mb00000000098-7a8c366b43f611,Rachin Ravindra,Karn Sharma,6,0,6,2,300.00,1,50.00,2.00,1,0,0,0,0,1,2.00,100.00,1,6.00
Head To Head,2021-100mb00000000724-7645abdd460011,2019-100mb00000000229-75a4b0a0516011,Rachin Ravindra,Alzarri Joseph,9,1,10,4,250.00,1,25.00,4.00,3,1,1,0,0,1,4.00,60.00,0,3.33
Head To Head,2021-100mb00000000724-7645abdd460011,2022-100mb00000000978-bc824605a44611,Rachin Ravindra,Yash Dayal,10,0,10,5,200.00,1,20.00,5.00,4,2,0,0,2,0,2.50,80.00,0,2.50
Head To Head,2018-100mb00000000014-227bc550e99c11,2019-100mb00000000125-2485f88b449911,Kuldeep Yadav,Arshdeep Singh,1,0,1,2,50.00,1,50.00,2.00,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2018-100mb00000000018-6e65e6f7e99c11,2019-100mb00000000114-8c98068c449611,Rishabh Pant,Harshal Patel,8,0,8,4,200.00,1,25.00,4.00,3,0,2,0,1,0,4.00,50.00,1,2.67
Head To Head,2018-100mb00000000018-6e65e6f7e99c11,2019-100mb00000000116-dbd48930449611,Rishabh Pant,Kagiso Rabada,1,0,1,1,100.00,0,0.00,0.00,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2018-100mb00000000018-6e65e6f7e99c11,2019-100mb00000000130-89338eb7449a11,Rishabh Pant,Harpreet Brar,2,0,2,3,66.67,1,33.33,3.00,2,2,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2018-100mb00000000018-6e65e6f7e99c11,2019-100mb00000000171-b2aa538f44ae11,Rishabh Pant,Rahul Chahar,7,0,7,5,140.00,1,20.00,5.00,4,3,0,0,1,0,5.00,57.14,0,1.75
Head To Head,2018-100mb00000000040-7f15f6c7f88a11,2019-100mb00000000116-dbd48930449611,Mitchell Marsh,Kagiso Rabada,6,6,12,5,240.00,2,80.00,1.25,1,0,0,0,0,1,5.00,50.00,0,12.00
Head To Head,2018-100mb00000000040-7f15f6c7f88a11,2019-100mb00000000125-2485f88b449911,Mitchell Marsh,Arshdeep Singh,6,0,6,2,300.00,1,50.00,2.00,1,0,0,0,0,1,2.00,100.00,1,6.00
Head To Head,2018-100mb00000000040-7f15f6c7f88a11,2019-100mb00000000138-5bd8fcf6449d11,Mitchell Marsh,Sam Curran,8,1,9,5,180.00,3,60.00,1.67,2,0,0,0,2,0,2.50,88.89,0,4.50
Head To Head,2019-100mb00000000110-79ae08f5449411,2019-100mb00000000114-8c98068c449611,Axar Patel,Harshal Patel,1,0,1,1,100.00,0,0.00,0.00,1,1,0,0,0,0,0.00,0.00,1,1.00
Head To Head,2019-100mb00000000110-79ae08f5449411,2019-100mb00000000116-dbd48930449611,Axar Patel,Kagiso Rabada,8,0,8,4,200.00,1,25.00,4.00,3,2,0,0,0,1,4.00,75.00,0,2.67
Head To Head,2019-100mb00000000110-79ae08f5449411,2019-100mb00000000125-2485f88b449911,Axar Patel,Arshdeep Singh,6,0,6,4,150.00,2,50.00,2.00,2,0,1,0,1,0,4.00,66.67,0,3.00
Head To Head,2019-100mb00000000110-79ae08f5449411,2019-100mb00000000130-89338eb7449a11,Axar Patel,Harpreet Brar,5,0,5,3,166.67,1,33.33,3.00,2,1,0,0,1,0,3.00,80.00,0,2.50
Head To Head,2019-100mb00000000110-79ae08f5449411,2019-100mb00000000171-b2aa538f44ae11,Axar Patel,Rahul Chahar,1,0,1,1,100.00,0,0.00,0.00,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000214-df216bed44bc11,2019-100mb00000000114-8c98068c449611,David Warner,Harshal Patel,5,0,5,5,100.00,3,60.00,1.67,2,1,0,0,1,0,5.00,80.00,1,2.50
Head To Head,2019-100mb00000000214-df216bed44bc11,2019-100mb00000000116-dbd48930449611,David Warner,Kagiso Rabada,10,0,10,5,200.00,3,60.00,1.67,2,0,0,0,1,1,2.50,100.00,0,5.00
Head To Head,2019-100mb00000000214-df216bed44bc11,2019-100mb00000000125-2485f88b449911,David Warner,Arshdeep Singh,10,1,11,6,183.33,4,66.67,1.50,2,0,0,0,1,1,3.00,90.91,0,5.50
Head To Head,2019-100mb00000000214-df216bed44bc11,2019-100mb00000000130-89338eb7449a11,David Warner,Harpreet Brar,1,0,1,2,50.00,1,50.00,2.00,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000214-df216bed44bc11,2019-100mb00000000138-5bd8fcf6449d11,David Warner,Sam Curran,1,0,1,1,100.00,0,0.00,0.00,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000214-df216bed44bc11,2019-100mb00000000171-b2aa538f44ae11,David Warner,Rahul Chahar,2,0,2,2,100.00,0,0.00,0.00,2,2,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000219-05e95a2044c011,2019-100mb00000000116-dbd48930449611,Ricky Bhui,Kagiso Rabada,1,0,1,2,50.00,1,50.00,2.00,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000219-05e95a2044c011,2019-100mb00000000130-89338eb7449a11,Ricky Bhui,Harpreet Brar,0,0,0,2,0.00,2,100.00,1.00,0,0,0,0,0,0,0.00,0.00,1,0.00
Head To Head,2019-100mb00000000219-05e95a2044c011,2019-100mb00000000171-b2aa538f44ae11,Ricky Bhui,Rahul Chahar,2,0,2,3,66.67,1,33.33,3.00,2,2,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000268-22e2e3987add11,2019-100mb00000000114-8c98068c449611,Shai Hope,Harshal Patel,1,0,1,1,100.00,0,0.00,0.00,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000268-22e2e3987add11,2019-100mb00000000116-dbd48930449611,Shai Hope,Kagiso Rabada,8,0,8,5,160.00,2,40.00,2.50,3,2,0,0,0,1,5.00,75.00,1,2.67
Head To Head,2019-100mb00000000268-22e2e3987add11,2019-100mb00000000125-2485f88b449911,Shai Hope,Arshdeep Singh,1,0,1,4,25.00,3,75.00,1.33,1,1,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000268-22e2e3987add11,2019-100mb00000000130-89338eb7449a11,Shai Hope,Harpreet Brar,5,0,5,7,71.43,2,28.57,3.50,5,5,0,0,0,0,0.00,0.00,0,1.00
Head To Head,2019-100mb00000000268-22e2e3987add11,2019-100mb00000000171-b2aa538f44ae11,Shai Hope,Rahul Chahar,18,0,18,8,225.00,1,12.50,8.00,7,4,0,0,2,1,2.67,77.78,0,2.57
Head To Head,2022-100mb00000001017-3e376712cc7911,2019-100mb00000000114-8c98068c449611,Tristan Stubbs,Harshal Patel,0,0,0,2,0.00,2,100.00,1.00,0,0,0,0,0,0,0.00,0.00,0,0.00
Head To Head,2022-100mb00000001017-3e376712cc7911,2019-100mb00000000125-2485f88b449911,Tristan Stubbs,Arshdeep Singh,1,0,1,2,50.00,1,50.00,2.00,1,1,0,0,0,0,0.00,0.00,0,1.00
