KPI,MatchID,BowlerID,BowlerName,StrikerID,BatsManName,TotalRunsConceded,BowlingAverage,TotalLegalBallsBowled,BowlingSR,EconomyRate,DotBallsBowled,ScoringBalls,Ones,Twoes,Threes,Bdry4,Bdry6,Wides,NoBalls,Wickets,RunOutsDone,BowledOutsDone,StumpingsDone,BowlingDotBallPercentage,BowlingDotBallFrequency,BowlingBdryPercentage,BowlingBdryFrequency
Head To Head,1354,2018-100mb00000000046-06b5ba89f88b11,Ravindra Jadeja,2018-100mb00000000013-1031ba8ae99c11,Dinesh Karthik,1,0.00,2,0.00,6.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
Head To Head,1354,2018-100mb00000000046-06b5ba89f88b11,Ravindra Jadeja,2018-wicb00000000002-47ea5a6ae99a11,Virat Kohli,4,0.00,7,0.00,3.43,3,4,4,0,0,0,0,0,0,0,0,0,0,42.86,2.33,0.00,0.00
Head To Head,1354,2018-100mb00000000046-06b5ba89f88b11,Ravindra Jadeja,2020-100mb00000000534-1ea324c4639911,Anuj Rawat,5,0.00,4,0.00,7.50,0,4,3,1,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
Head To Head,1354,2018-100mb00000000046-06b5ba89f88b11,Ravindra Jadeja,2020-100mb00000000550-247665a42ff311,Cameron Green,11,0.00,11,0.00,6.00,4,7,5,1,0,1,0,0,0,0,0,0,0,36.36,2.75,36.36,11.00
Head To Head,1354,2019-100mb00000000091-8640595343ec11,Deepak Chahar,2018-100mb00000000013-1031ba8ae99c11,Dinesh Karthik,2,0.00,2,0.00,6.00,0,2,2,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
Head To Head,1354,2019-100mb00000000091-8640595343ec11,Deepak Chahar,2018-100mb00000000028-acc7d0a3e99d11,Glenn Maxwell,0,0.00,1,1.00,0.00,1,0,0,0,0,0,0,0,0,1,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1354,2019-100mb00000000091-8640595343ec11,Deepak Chahar,2018-wicb00000000002-47ea5a6ae99a11,Virat Kohli,2,0.00,3,0.00,6.00,1,2,2,0,0,0,0,1,0,0,0,0,0,33.33,3.00,0.00,0.00
Head To Head,1354,2019-100mb00000000091-8640595343ec11,Deepak Chahar,2019-100mb00000000094-1e8fa14543ee11,Faf Du Plessis,21,0.00,11,0.00,12.00,5,6,1,0,0,5,0,1,0,0,0,0,0,45.45,2.20,95.24,2.20
Head To Head,1354,2019-100mb00000000091-8640595343ec11,Deepak Chahar,2020-100mb00000000534-1ea324c4639911,Anuj Rawat,10,0.00,4,0.00,15.00,0,4,2,0,0,2,0,0,0,0,0,0,0,0.00,0.00,80.00,2.00
Head To Head,1354,2019-100mb00000000091-8640595343ec11,Deepak Chahar,2020-100mb00000000550-247665a42ff311,Cameron Green,0,0.00,3,0.00,0.00,3,0,0,0,0,0,0,0,0,0,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1354,2019-100mb00000000258-e46e7f697acb11,Mustafizur Rahman,2018-100mb00000000013-1031ba8ae99c11,Dinesh Karthik,9,0.00,7,0.00,10.29,1,5,3,1,0,1,0,2,0,0,0,0,0,14.29,7.00,44.44,7.00
Head To Head,1354,2019-100mb00000000258-e46e7f697acb11,Mustafizur Rahman,2018-wicb00000000002-47ea5a6ae99a11,Virat Kohli,0,0.00,1,1.00,0.00,1,0,0,0,0,0,0,0,0,1,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1354,2019-100mb00000000258-e46e7f697acb11,Mustafizur Rahman,2019-100mb00000000094-1e8fa14543ee11,Faf Du Plessis,4,4.00,3,3.00,8.00,2,1,0,0,0,1,0,0,0,1,0,0,0,66.67,1.50,100.00,3.00
Head To Head,1354,2019-100mb00000000258-e46e7f697acb11,Mustafizur Rahman,2020-100mb00000000534-1ea324c4639911,Anuj Rawat,13,0.00,8,0.00,9.75,3,5,3,0,0,1,1,0,0,0,0,0,0,37.50,2.67,76.92,4.00
Head To Head,1354,2019-100mb00000000258-e46e7f697acb11,Mustafizur Rahman,2020-100mb00000000550-247665a42ff311,Cameron Green,1,1.00,2,2.00,3.00,1,1,1,0,0,0,0,0,0,1,0,1,0,50.00,2.00,0.00,0.00
Head To Head,1354,2019-100mb00000000258-e46e7f697acb11,Mustafizur Rahman,2021-100mb00000000597-a0edfee691e511,Rajat Patidar,0,0.00,3,3.00,0.00,3,0,0,0,0,0,0,0,0,1,0,0,0,100.00,1.00,0.00,0.00
Head To Head,1354,2020-100mb00000000539-04833b65639b11,Tushar Deshpande,2018-100mb00000000013-1031ba8ae99c11,Dinesh Karthik,14,14.00,11,11.00,9.82,5,6,4,0,0,1,1,4,0,0,1,0,0,45.45,2.20,71.43,5.50
Head To Head,1354,2020-100mb00000000539-04833b65639b11,Tushar Deshpande,2019-100mb00000000094-1e8fa14543ee11,Faf Du Plessis,9,0.00,6,0.00,9.00,3,3,1,0,0,2,0,0,0,0,0,0,0,50.00,2.00,88.89,3.00
Head To Head,1354,2020-100mb00000000539-04833b65639b11,Tushar Deshpande,2020-100mb00000000534-1ea324c4639911,Anuj Rawat,18,0.00,7,0.00,17.14,2,5,2,0,0,1,2,1,0,0,0,0,0,28.57,3.50,88.89,2.33
Head To Head,1354,2021-100mb00000000629-11c540100bd311,Maheesh Theekshana,2018-100mb00000000013-1031ba8ae99c11,Dinesh Karthik,12,0.00,4,0.00,18.00,0,4,2,0,0,1,1,0,0,0,0,0,0,0.00,0.00,83.33,2.00
Head To Head,1354,2021-100mb00000000629-11c540100bd311,Maheesh Theekshana,2018-wicb00000000002-47ea5a6ae99a11,Virat Kohli,15,0.00,9,0.00,10.00,1,8,5,2,0,0,1,0,0,0,0,0,0,11.11,9.00,40.00,9.00
Head To Head,1354,2021-100mb00000000629-11c540100bd311,Maheesh Theekshana,2019-100mb00000000094-1e8fa14543ee11,Faf Du Plessis,1,0.00,3,0.00,4.00,1,1,1,0,0,0,0,0,0,0,0,0,0,33.33,3.00,0.00,0.00
Head To Head,1354,2021-100mb00000000629-11c540100bd311,Maheesh Theekshana,2020-100mb00000000534-1ea324c4639911,Anuj Rawat,2,0.00,2,0.00,6.00,0,2,2,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
