MatchID,InningsNo,TeamID,Total,TotalExtras,Byes,LegByes,NoBalls,Wides,Penalty,CurrentRunRate,FallScore,FallWickets,FallOvers,BattingTeamName,BowlingTeamName,MaxPartnerShipRuns
1354,1,19,173/6 (20.0 Overs),13,1,2,0,10,,8.65,173,6,20.0,Royal Challengers Bengaluru,Chennai Super Kings,95
1354,2,13,176/4 (18.4 Overs),16,4,4,0,8,,9.43,176,4,18.4,Chennai Super Kings,Royal Challengers Bengaluru,66
1355,1,14,174/9 (20.0 Overs),10,0,6,0,4,,8.7,174,9,20.0,Delhi Capitals,Punjab Kings,39
1355,2,15,177/6 (19.2 Overs),8,0,2,0,6,,9.16,177,6,19.2,Punjab Kings,Delhi Capitals,67
1356,1,16,208/7 (20.0 Overs),8,0,0,2,6,,10.4,208,7,20.0,Kolkata Knight Riders,Sunrisers Hyderabad,81
1356,2,20,204/7 (20.0 Overs),7,0,1,0,6,,10.2,204,7,20.0,Sunrisers Hyderabad,Kolkata Knight Riders,60
1357,1,18,193/4 (20.0 Overs),8,0,1,1,6,,9.65,193,4,20.0,Rajasthan Royals,Lucknow Super Giants,93
1357,2,77,173/6 (20.0 Overs),14,0,5,0,9,,8.65,173,6,20.0,Lucknow Super Giants,Rajasthan Royals,85
1358,1,35,168/6 (20.0 Overs),12,0,4,1,7,,8.4,168,6,20.0,Gujarat Titans,Mumbai Indians,40
1358,2,17,162/9 (20.0 Overs),3,0,0,0,3,,8.1,162,9,20.0,Mumbai Indians,Gujarat Titans,77
1359,1,15,176/6 (20.0 Overs),8,1,1,0,6,,8.8,176,6,20.0,Punjab Kings,Royal Challengers Bengaluru,55
1359,2,19,178/6 (19.2 Overs),18,2,9,0,7,,9.21,178,6,19.2,Royal Challengers Bengaluru,Punjab Kings,48
1360,1,13,206/6 (20.0 Overs),6,0,1,0,5,,10.3,206,6,20.0,Chennai Super Kings,Gujarat Titans,62
1360,2,35,143/8 (20.0 Overs),11,0,2,0,9,,7.15,143,8,20.0,Gujarat Titans,Chennai Super Kings,41
1363,1,19,182/6 (20.0 Overs),4,1,0,0,3,,9.1,182,6,20.0,Royal Challengers Bengaluru,Kolkata Knight Riders,65
1363,2,16,186/3 (16.5 Overs),15,0,7,0,8,,11.05,186,3,16.5,Kolkata Knight Riders,Royal Challengers Bengaluru,86
1362,1,18,185/5 (20.0 Overs),7,1,1,0,5,,9.25,185,5,20.0,Rajasthan Royals,Delhi Capitals,54
1362,2,14,173/5 (20.0 Overs),5,0,1,0,4,,8.65,173,5,20.0,Delhi Capitals,Rajasthan Royals,67
1361,1,20,277/3 (20.0 Overs),19,4,1,2,12,,13.85,277,3,20.0,Sunrisers Hyderabad,Mumbai Indians,116
1361,2,17,246/5 (20.0 Overs),11,1,4,1,5,,12.3,246,5,20.0,Mumbai Indians,Sunrisers Hyderabad,84
1364,1,77,199/8 (20.0 Overs),7,1,1,0,5,,9.95,199,8,20.0,Lucknow Super Giants,Punjab Kings,47
1364,2,15,178/5 (20.0 Overs),4,0,2,0,2,,8.9,178,5,20.0,Punjab Kings,Lucknow Super Giants,102
1365,1,20,162/8 (20.0 Overs),4,0,2,0,2,,8.1,162,8,20.0,Sunrisers Hyderabad,Gujarat Titans,45
1365,2,35,168/3 (19.1 Overs),4,0,0,0,4,,8.77,168,3,19.1,Gujarat Titans,Sunrisers Hyderabad,64
1366,1,14,191/5 (20.0 Overs),11,2,2,2,5,,9.55,191,5,20.0,Delhi Capitals,Chennai Super Kings,93
