MatchID,InningsNo,TeamID,PlayerID,PlayerName,Score,FallScore,FallWickets,FallOvers
1354,1,19,2019-100mb00000000094-1e8fa14543ee11,Faf Du Plessis,41/1(4.3),41,1,4.3
1354,1,19,2021-100mb00000000597-a0edfee691e511,Rajat Patidar,41/2(4.6),41,2,4.6
1354,1,19,2018-100mb00000000028-acc7d0a3e99d11,Glenn Maxwell,42/3(5.3),42,3,5.3
1354,1,19,2018-wicb00000000002-47ea5a6ae99a11,Virat Kohli,77/4(11.2),77,4,11.2
1354,1,19,2020-100mb00000000550-247665a42ff311,Cameron Green,78/5(11.4),78,5,11.4
1354,1,19,2020-100mb00000000534-1ea324c4639911,Anuj Rawat,173/6(19.6),173,6,19.6
1354,2,13,2019-100mb00000000102-28e7fca043fc11,Ruturaj Gaikwad,38/1(3.6),38,1,3.6
1354,2,13,2021-100mb00000000724-7645abdd460011,Rachin Ravindra,71/2(6.6),71,2,6.6
1354,2,13,2018-100mb00000000044-e03a43dbf88a11,Ajinkya Rahane,99/3(10.2),99,3,10.2
1354,2,13,2019-100mb00000000083-a7fea83029c211,Daryl Mitchell,110/4(12.3),110,4,12.3
1355,1,14,2018-100mb00000000040-7f15f6c7f88a11,Mitchell Marsh,39/1(3.2),39,1,3.2
1355,1,14,2019-100mb00000000214-df216bed44bc11,David Warner,74/2(7.6),74,2,7.6
1355,1,14,2019-100mb00000000268-22e2e3987add11,Shai Hope,94/3(10.4),94,3,10.4
1355,1,14,2018-100mb00000000018-6e65e6f7e99c11,Rishabh Pant,111/4(12.4),111,4,12.4
1355,1,14,2019-100mb00000000219-05e95a2044c011,Ricky Bhui,111/5(13.2),111,5,13.2
1355,1,14,2022-100mb00000001017-3e376712cc7911,Tristan Stubbs,128/6(15.4),128,6,15.4
1355,1,14,2019-100mb00000000110-79ae08f5449411,Axar Patel,138/7(17.1),138,7,17.1
1355,1,14,2022-100mb00000001535-6fd8867c54e911,Sumit Kumar,147/8(18.3),147,8,18.3
1355,1,14,2018-100mb00000000014-227bc550e99c11,Kuldeep Yadav,174/9(19.6),174,9,19.6
1355,2,15,2018-100mb00000000011-cbf5eb14e99b11,Shikhar Dhawan,34/1(3.1),34,1,3.1
1355,2,15,2019-100mb00000000216-33c1188144bd11,Jonny Bairstow,42/2(3.5),42,2,3.5
1355,2,15,2019-100mb00000000137-d774e3d1449c11,Prabhsimran Singh,84/3(9.2),84,3,9.2
1355,2,15,2022-100mb00000001000-d90666b7a44d11,Jitesh Sharma,100/4(11.3),100,4,11.3
1355,2,15,2019-100mb00000000138-5bd8fcf6449d11,Sam Curran,167/5(18.3),167,5,18.3
1355,2,15,2019-100mb00000000191-df21803b44b711,Shashank Singh,167/6(18.4),167,6,18.4
1356,1,16,2019-100mb00000000156-a6b6f42c44aa11,Sunil Narine,23/1(1.6),23,1,1.6
1356,1,16,2021-100mb00000000584-a3f48c1791dd11,Venkatesh Iyer,32/2(3.3),32,2,3.3
1356,1,16,2018-100mb00000000012-ea4c47d2e99b11,Shreyas Iyer,32/3(3.5),32,3,3.5
1356,1,16,2019-100mb00000000148-ef59629644a811,Nitish Rana,51/4(7.3),51,4,7.3
1356,1,16,2022-100mb00000000991-d9fbad51a44b11,Ramandeep Singh,105/5(12.1),105,5,12.1
1356,1,16,2022-100mb00000001220-372333e3f9f711,Phil Salt,119/6(13.5),119,6,13.5
1356,1,16,2019-100mb00000000152-335aed3d44aa11,Rinku Singh,200/7(19.1),200,7,19.1
1356,2,20,2018-100mb00000000055-ed853d8f050a11,Mayank Agarwal,60/1(5.3),60,1,5.3
1356,2,20,2019-100mb00000000212-9df3a24d44bc11,Abhishek Sharma,71/2(7.2),71,2,7.2
1356,2,20,2019-100mb00000000287-ca1a6bb17ae311,Aiden Markram,107/3(11.4),107,3,11.4
1356,2,20,2019-100mb00000000188-896b509b44b711,Rahul Tripathi,111/4(12.5),111,4,12.5
1356,2,20,2020-100mb00000000525-4d2e1ac6639511,Abdul Samad,145/5(16.5),145,5,16.5
1356,2,20,2020-100mb00000000523-53bc4c09638b11,Shahbaz Ahmed,203/6(19.3),203,6,19.3
1356,2,20,2019-100mb00000000202-438eed6944ba11,Heinrich Klaasen,204/7(19.5),204,7,19.5
1357,1,18,2019-100mb00000000182-b78f12ef44b611,Jos Buttler,13/1(1.6),13,1,1.6
1357,1,18,2020-100mb00000000533-e895f279639811,Yashasvi Jaiswal,49/2(4.6),49,2,4.6
