InningsNo,OverNo,BattingTeamID,OverRuns,BowlerRuns,BowlerID,Wickets,Bowler
1,0,0,7,7,2019-100mb00000000091-8640595343ec11,0,Deepak Chahar
1,1,0,9,9,2020-100mb00000000539-04833b65639b11,0,Tushar Deshpande
1,2,0,17,17,2019-100mb00000000091-8640595343ec11,0,Deepak Chahar
1,3,0,4,3,2021-100mb00000000629-11c540100bd311,0,Maheesh Theekshana
1,4,0,4,4,2019-100mb00000000258-e46e7f697acb11,2,Mustafizur Rahman
1,5,0,1,1,2019-100mb00000000091-8640595343ec11,1,Deepak Chahar
1,6,0,6,6,2018-100mb00000000046-06b5ba89f88b11,0,Ravindra Jadeja
1,7,0,7,7,2021-100mb00000000629-11c540100bd311,0,Maheesh Theekshana
1,8,0,8,8,2018-100mb00000000046-06b5ba89f88b11,0,Ravindra Jadeja
1,9,0,12,12,2021-100mb00000000629-11c540100bd311,0,Maheesh Theekshana
1,10,0,1,1,2018-100mb00000000046-06b5ba89f88b11,0,Ravindra Jadeja
1,11,0,3,3,2019-100mb00000000258-e46e7f697acb11,2,Mustafizur Rahman
1,12,0,4,4,2020-100mb00000000539-04833b65639b11,0,Tushar Deshpande
1,13,0,7,6,2018-100mb00000000046-06b5ba89f88b11,0,Ravindra Jadeja
1,14,0,12,12,2019-100mb00000000091-8640595343ec11,0,Deepak Chahar
1,15,0,14,14,2021-100mb00000000629-11c540100bd311,0,Maheesh Theekshana
1,16,0,7,7,2019-100mb00000000258-e46e7f697acb11,0,Mustafizur Rahman
1,17,0,25,25,2020-100mb00000000539-04833b65639b11,0,Tushar Deshpande
1,18,0,16,15,2019-100mb00000000258-e46e7f697acb11,0,Mustafizur Rahman
1,19,0,9,9,2020-100mb00000000539-04833b65639b11,1,Tushar Deshpande
2,0,0,8,8,2019-100mb00000000063-d9aa7a01187311,0,Mohammed Siraj
2,1,0,5,5,2022-100mb00000000978-bc824605a44611,0,Yash Dayal
2,2,0,15,15,2019-100mb00000000063-d9aa7a01187311,0,Mohammed Siraj
2,3,0,10,10,2022-100mb00000000978-bc824605a44611,1,Yash Dayal
2,4,0,11,11,2019-100mb00000000229-75a4b0a0516011,0,Alzarri Joseph
2,5,0,13,13,2022-100mb00000000978-bc824605a44611,0,Yash Dayal
2,6,0,9,9,2019-100mb00000000098-7a8c366b43f611,1,Karn Sharma
2,7,0,2,2,2022-100mb00000001547-613ed5ea54ee11,0,Mayank Dagar
2,8,0,15,15,2019-100mb00000000098-7a8c366b43f611,0,Karn Sharma
2,9,0,4,4,2022-100mb00000001547-613ed5ea54ee11,0,Mayank Dagar
2,10,0,10,10,2020-100mb00000000550-247665a42ff311,1,Cameron Green
2,11,0,7,7,2019-100mb00000000229-75a4b0a0516011,0,Alzarri Joseph
2,12,0,5,5,2020-100mb00000000550-247665a42ff311,1,Cameron Green
2,13,0,7,7,2018-100mb00000000028-acc7d0a3e99d11,0,Glenn Maxwell
2,14,0,7,7,2019-100mb00000000063-d9aa7a01187311,0,Mohammed Siraj
2,15,0,12,12,2020-100mb00000000550-247665a42ff311,0,Cameron Green
2,16,0,16,12,2019-100mb00000000229-75a4b0a0516011,0,Alzarri Joseph
2,17,0,8,8,2019-100mb00000000063-d9aa7a01187311,0,Mohammed Siraj
2,18,0,12,8,2019-100mb00000000229-75a4b0a0516011,0,Alzarri Joseph
1,0,0,7,7,2019-100mb00000000091-8640595343ec11,0,Deepak Chahar
1,1,0,9,9,2020-100mb00000000539-04833b65639b11,0,Tushar Deshpande
1,2,0,17,17,2019-100mb00000000091-8640595343ec11,0,Deepak Chahar
1,3,0,4,3,2021-100mb00000000629-11c540100bd311,0,Maheesh Theekshana
1,4,0,4,4,2019-100mb00000000258-e46e7f697acb11,2,Mustafizur Rahman
1,5,0,1,1,2019-100mb00000000091-8640595343ec11,1,Deepak Chahar
1,6,0,6,6,2018-100mb00000000046-06b5ba89f88b11,0,Ravindra Jadeja
1,7,0,7,7,2021-100mb00000000629-11c540100bd311,0,Maheesh Theekshana
1,8,0,8,8,2018-100mb00000000046-06b5ba89f88b11,0,Ravindra Jadeja
1,9,0,12,12,2021-100mb00000000629-11c540100bd311,0,Maheesh Theekshana
1,10,0,1,1,2018-100mb00000000046-06b5ba89f88b11,0,Ravindra Jadeja
1,11,0,3,3,2019-100mb00000000258-e46e7f697acb11,2,Mustafizur Rahman
1,12,0,4,4,2020-100mb00000000539-04833b65639b11,0,Tushar Deshpande
1,13,0,7,6,2018-100mb00000000046-06b5ba89f88b11,0,Ravindra Jadeja
1,14,0,12,12,2019-100mb00000000091-8640595343ec11,0,Deepak Chahar
1,15,0,14,14,2021-100mb00000000629-11c540100bd311,0,Maheesh Theekshana
