InningsNo,OverNo,BattingTeamID,OutBatsman,OutDesc,BatsmanRuns,BatsmanBalls,OutBatsMan,BatsManRuns,BatsManBalls
1,4,19,Rajat Patidar,c MS Dhoni b Mustafizur Rahman,0,3,,,
1,4,19,Faf Du Plessis,c Rachin Ravindra b Mustafizur Rahman,35,23,,,
1,5,19,Glenn Maxwell,c MS Dhoni b Deepak Chahar,0,1,,,
1,11,19,Cameron Green,b Mustafizur Rahman,18,22,,,
1,11,19,Virat Kohli,c Rachin Ravindra b Mustafizur Rahman,21,20,,,
1,19,19,Anuj Rawat,ro (MS Dhoni),48,25,,,
2,3,13,Ruturaj Gaikwad,c Cameron Green b Yash Dayal,15,15,,,
2,6,13,Rachin Ravindra,c Rajat Patidar b Karn Sharma,37,15,,,
2,10,13,Ajinkya Rahane,c Glenn Maxwell b Cameron Green,27,19,,,
2,12,13,Daryl Mitchell,c Rajat Patidar b Cameron Green,22,18,,,
1,4,19,Rajat Patidar,c MS Dhoni b Mustafizur Rahman,0,3,,,
1,4,19,Faf Du Plessis,c Rachin Ravindra b Mustafizur Rahman,35,23,,,
1,5,19,Glenn Maxwell,c MS Dhoni b Deepak Chahar,0,1,,,
1,11,19,Virat Kohli,c Rachin Ravindra b Mustafizur Rahman,21,20,,,
1,11,19,Cameron Green,b Mustafizur Rahman,18,22,,,
1,19,19,Anuj Rawat,ro (MS Dhoni),48,25,,,
2,3,13,Ruturaj Gaikwad,c Cameron Green b Yash Dayal,15,15,,,
2,6,13,Rachin Ravindra,c Rajat Patidar b Karn Sharma,37,15,,,
2,10,13,Ajinkya Rahane,c Glenn Maxwell b Cameron Green,27,19,,,
2,12,13,Daryl Mitchell,c Rajat Patidar b Cameron Green,22,18,,,
1,3,14,Mitchell Marsh,c Rahul Chahar b Arshdeep Singh,20,12,,,
1,7,14,David Warner,c Jitesh Sharma b Harshal Patel,29,21,,,
1,10,14,Shai Hope,c Harpreet Brar b Kagiso Rabada,33,25,,,
1,12,14,Rishabh Pant,c Jonny Bairstow b Harshal Patel,18,13,,,
1,13,14,Ricky Bhui,c Jitesh Sharma b Harpreet Brar,3,7,,,
1,15,14,Tristan Stubbs,c Shashank Singh b Rahul Chahar,5,8,,,
1,17,14,Axar Patel,ro (Tanay Thyagarajan),21,13,,,
1,18,14,Sumit Kumar,c Jitesh Sharma b Arshdeep Singh,2,9,,,
1,19,14,Kuldeep Yadav,ro (Shashank Singh),1,2,,,
2,3,15,Jonny Bairstow,ro (Ishant Sharma),9,3,,,
2,3,15,Shikhar Dhawan,b Ishant Sharma,22,16,,,
2,9,15,Prabhsimran Singh,c David Warner b Kuldeep Yadav,26,17,,,
2,11,15,Jitesh Sharma,st Rishabh Pant b Kuldeep Yadav,9,9,,,
2,18,15,Sam Curran,b Khaleel Ahmed,63,47,,,
2,18,15,Shashank Singh,c Rishabh Pant b Khaleel Ahmed,0,1,,,
1,3,14,Mitchell Marsh,c Rahul Chahar b Arshdeep Singh,20,12,,,
1,7,14,David Warner,c Jitesh Sharma b Harshal Patel,29,21,,,
1,10,14,Shai Hope,c Harpreet Brar b Kagiso Rabada,33,25,,,
1,12,14,Rishabh Pant,c Jonny Bairstow b Harshal Patel,18,13,,,
1,13,14,Ricky Bhui,c Jitesh Sharma b Harpreet Brar,3,7,,,
1,15,14,Tristan Stubbs,c Shashank Singh b Rahul Chahar,5,8,,,
1,17,14,Axar Patel,ro (Tanay Thyagarajan),21,13,,,
1,18,14,Sumit Kumar,c Jitesh Sharma b Arshdeep Singh,2,9,,,
1,19,14,Kuldeep Yadav,ro (Shashank Singh),1,2,,,
2,3,15,Shikhar Dhawan,b Ishant Sharma,22,16,,,
2,3,15,Jonny Bairstow,ro (Ishant Sharma),9,3,,,
2,9,15,Prabhsimran Singh,c David Warner b Kuldeep Yadav,26,17,,,
2,11,15,Jitesh Sharma,st Rishabh Pant b Kuldeep Yadav,9,9,,,
2,18,15,Sam Curran,b Khaleel Ahmed,63,47,,,
2,18,15,Shashank Singh,c Rishabh Pant b Khaleel Ahmed,0,1,,,
1,1,16,Sunil Narine,ro (Shahbaz Ahmed),2,4,,,
1,3,16,Shreyas Iyer,c Pat Cummins b T Natarajan,0,2,,,
1,3,16,Venkatesh Iyer,c Marco Jansen b T Natarajan,7,5,,,
1,7,16,Nitish Rana,c Rahul Tripathi b Mayank Markande,9,11,,,
1,12,16,Ramandeep Singh,c Mayank Markande b Pat Cummins,35,16,,,
1,13,16,Phil Salt,c Marco Jansen b Mayank Markande,54,40,,,
1,19,16,Rinku Singh,c Aiden Markram b T Natarajan,23,15,,,
2,5,20,Mayank Agarwal,c Rinku Singh b Harshit Rana,32,21,,,
2,7,20,Abhishek Sharma,c Varun Chakaravarthy b Andre Russell,32,19,,,
2,11,20,Aiden Markram,c Rinku Singh b Varun Chakaravarthy,18,13,,,
2,12,20,Rahul Tripathi,c Harshit Rana b Sunil Narine,20,20,,,
2,16,20,Abdul Samad,c Venkatesh Iyer b Andre Russell,15,11,,,
2,19,20,Heinrich Klaasen,c Suyash Sharma b Harshit Rana,63,29,,,
2,19,20,Shahbaz Ahmed,c Shreyas Iyer b Harshit Rana,16,5,,,
1,1,16,Sunil Narine,ro (Shahbaz Ahmed),2,4,,,
1,3,16,Shreyas Iyer,c Pat Cummins b T Natarajan,0,2,,,
1,3,16,Venkatesh Iyer,c Marco Jansen b T Natarajan,7,5,,,
1,7,16,Nitish Rana,c Rahul Tripathi b Mayank Markande,9,11,,,
1,12,16,Ramandeep Singh,c Mayank Markande b Pat Cummins,35,16,,,
1,13,16,Phil Salt,c Marco Jansen b Mayank Markande,54,40,,,
1,19,16,Rinku Singh,c Aiden Markram b T Natarajan,23,15,,,
2,5,20,Mayank Agarwal,c Rinku Singh b Harshit Rana,32,21,,,
2,7,20,Abhishek Sharma,c Varun Chakaravarthy b Andre Russell,32,19,,,
2,11,20,Aiden Markram,c Rinku Singh b Varun Chakaravarthy,18,13,,,
2,12,20,Rahul Tripathi,c Harshit Rana b Sunil Narine,20,20,,,
2,16,20,Abdul Samad,c Venkatesh Iyer b Andre Russell,15,11,,,
2,19,20,Heinrich Klaasen,c Suyash Sharma b Harshit Rana,63,29,,,
2,19,20,Shahbaz Ahmed,c Shreyas Iyer b Harshit Rana,16,5,,,
1,1,18,Jos Buttler,c KL Rahul b Naveen-Ul-Haq,11,9,,,
1,4,18,Yashasvi Jaiswal,c Krunal Pandya b Mohsin Khan,24,12,,,
1,14,18,Riyan Parag,c Deepak Hooda b Naveen-Ul-Haq,43,29,,,
1,16,18,Shimron Hetmyer,c KL Rahul b Ravi Bishnoi,5,7,,,
2,0,77,Quinton De Kock,c Nandre Burger b Trent Boult,4,5,,,
2,2,77,Devdutt Padikkal,b Trent Boult,0,3,,,
2,3,77,Ayush Badoni,c Jos Buttler b Nandre Burger,1,5,,,
2,7,77,Deepak Hooda,c Dhruv Jurel b Yuzvendra Chahal,26,13,,,
2,16,77,KL Rahul,c Dhruv Jurel b Sandeep Sharma,58,44,,,
2,17,77,Marcus Stoinis,c Dhruv Jurel b Ravichandran Ashwin,3,4,,,
1,1,18,Jos Buttler,c KL Rahul b Naveen-Ul-Haq,11,9,,,
1,4,18,Yashasvi Jaiswal,c Krunal Pandya b Mohsin Khan,24,12,,,
1,14,18,Riyan Parag,c Deepak Hooda b Naveen-Ul-Haq,43,29,,,
1,16,18,Shimron Hetmyer,c KL Rahul b Ravi Bishnoi,5,7,,,
2,0,77,Quinton De Kock,c Nandre Burger b Trent Boult,4,5,,,
2,2,77,Devdutt Padikkal,b Trent Boult,0,3,,,
2,3,77,Ayush Badoni,c Jos Buttler b Nandre Burger,1,5,,,
2,7,77,Deepak Hooda,c Dhruv Jurel b Yuzvendra Chahal,26,13,,,
2,16,77,KL Rahul,c Dhruv Jurel b Sandeep Sharma,58,44,,,
2,17,77,Marcus Stoinis,c Dhruv Jurel b Ravichandran Ashwin,3,4,,,
1,3,35,Wriddhiman Saha,b Jasprit Bumrah,19,15,,,
1,7,35,Shubman Gill,c Rohit Sharma b Piyush Chawla,31,22,,,
1,11,35,Azmatullah Omarzai,c Tilak Varma b Gerald Coetzee,17,11,,,
1,16,35,David Miller,c Hardik Pandya b Jasprit Bumrah,12,11,,,
1,16,35,Sai Sudharsan,c Tilak Varma b Jasprit Bumrah,45,39,,,
1,19,35,Rahul Tewatia,c Naman Dhir b Gerald Coetzee,22,14,,,
2,0,17,Ishan Kishan,c Wriddhiman Saha b Azmatullah Omarzai,0,4,,,
2,2,17,Naman Dhir,lbw Azmatullah Omarzai,20,10,,,
2,12,17,Rohit Sharma,lbw Sai Kishore,43,29,,,
2,15,17,Dewald Brevis,c & b Mohit Sharma,46,38,,,
2,17,17,Tim David,c David Miller b Mohit Sharma,11,10,,,
2,18,17,Gerald Coetzee,c & b Spencer Johnson,1,3,,,
2,18,17,Tilak Varma,c Abhinav Manohar b Spencer Johnson,25,19,,,
2,19,17,Piyush Chawla,c Rashid Khan b Umesh Yadav,0,1,,,
2,19,17,Hardik Pandya,c Rahul Tewatia b Umesh Yadav,11,4,,,
1,3,35,Wriddhiman Saha,b Jasprit Bumrah,19,15,,,
1,7,35,Shubman Gill,c Rohit Sharma b Piyush Chawla,31,22,,,
1,11,35,Azmatullah Omarzai,c Tilak Varma b Gerald Coetzee,17,11,,,
1,16,35,David Miller,c Hardik Pandya b Jasprit Bumrah,12,11,,,
1,16,35,Sai Sudharsan,c Tilak Varma b Jasprit Bumrah,45,39,,,
1,19,35,Rahul Tewatia,c Naman Dhir b Gerald Coetzee,22,14,,,
2,0,17,Ishan Kishan,c Wriddhiman Saha b Azmatullah Omarzai,0,4,,,
2,2,17,Naman Dhir,lbw Azmatullah Omarzai,20,10,,,
2,12,17,Rohit Sharma,lbw Sai Kishore,43,29,,,
2,15,17,Dewald Brevis,c & b Mohit Sharma,46,38,,,
2,17,17,Tim David,c David Miller b Mohit Sharma,11,10,,,
2,18,17,Tilak Varma,c Abhinav Manohar b Spencer Johnson,25,19,,,
2,18,17,Gerald Coetzee,c & b Spencer Johnson,1,3,,,
2,19,17,Piyush Chawla,c Rashid Khan b Umesh Yadav,0,1,,,
2,19,17,Hardik Pandya,c Rahul Tewatia b Umesh Yadav,11,4,,,
1,2,15,Jonny Bairstow,c Virat Kohli b Mohammed Siraj,8,6,,,
1,8,15,Simran Singh,c Anuj Rawat b Glenn Maxwell,25,17,,,
1,11,15,Liam Livingstone,c Anuj Rawat b Alzarri Joseph,17,13,,,
1,12,15,Shikhar Dhawan,c Virat Kohli b Glenn Maxwell,45,37,,,
1,17,15,Sam Curran,c Anuj Rawat b Yash Dayal,23,17,,,
1,18,15,Jitesh Sharma,c Anuj Rawat b Mohammed Siraj,27,20,,,
2,2,19,Faf Du Plessis,c Sam Curran b Kagiso Rabada,3,7,,,
2,4,19,Cameron Green,c Jitesh Sharma b Kagiso Rabada,3,5,,,
2,10,19,Rajat Patidar,b Harpreet Brar,18,18,,,
2,12,19,Glenn Maxwell,b Harpreet Brar,3,5,,,
2,15,19,Virat Kohli,c Harpreet Brar b Harshal Patel,77,49,,,
2,16,19,Anuj Rawat,lbw Sam Curran,11,14,,,
1,2,15,Jonny Bairstow,c Virat Kohli b Mohammed Siraj,8,6,,,
1,8,15,Simran Singh,c Anuj Rawat b Glenn Maxwell,25,17,,,
1,11,15,Liam Livingstone,c Anuj Rawat b Alzarri Joseph,17,13,,,
1,12,15,Shikhar Dhawan,c Virat Kohli b Glenn Maxwell,45,37,,,
1,17,15,Sam Curran,c Anuj Rawat b Yash Dayal,23,17,,,
1,18,15,Jitesh Sharma,c Anuj Rawat b Mohammed Siraj,27,20,,,
2,2,19,Faf Du Plessis,c Sam Curran b Kagiso Rabada,3,7,,,
2,4,19,Cameron Green,c Jitesh Sharma b Kagiso Rabada,3,5,,,
2,10,19,Rajat Patidar,b Harpreet Brar,18,18,,,
2,12,19,Glenn Maxwell,b Harpreet Brar,3,5,,,
2,15,19,Virat Kohli,c Harpreet Brar b Harshal Patel,77,49,,,
2,16,19,Anuj Rawat,lbw Sam Curran,11,14,,,
1,5,13,Rachin Ravindra,st Wriddhiman Saha b Rashid Khan,46,20,,,
1,10,13,Ajinkya Rahane,st Wriddhiman Saha b Sai Kishore,12,12,,,
1,12,13,Ruturaj Gaikwad,c Wriddhiman Saha b Spencer Johnson,46,36,,,
1,18,13,Shivam Dube,c Vijay Shankar b Rashid Khan,51,23,,,
1,19,13,Sameer Rizwi,c David Miller b Mohit Sharma,14,6,,,
1,19,13,Ravindra Jadeja,ro (Vijay Shankar),7,3,,,
2,2,35,Shubman Gill,lbw Deepak Chahar,8,5,,,
2,4,35,Wriddhiman Saha,c Tushar Deshpande b Deepak Chahar,21,17,,,
2,7,35,Vijay Shankar,c MS Dhoni b Daryl Mitchell,12,12,,,
2,11,35,David Miller,c Ajinkya Rahane b Tushar Deshpande,21,16,,,
2,14,35,Sai Sudharsan,c Sameer Rizwi b Matheesha Pathirana,37,31,,,
2,15,35,Azmatullah Omarzai,c Rachin Ravindra b Tushar Deshpande,11,10,,,
2,16,35,Rashid Khan,c Rachin Ravindra b Mustafizur Rahman,1,2,,,
2,18,35,Rahul Tewatia,c Rachin Ravindra b Mustafizur Rahman,6,11,,,
1,5,13,Rachin Ravindra,st Wriddhiman Saha b Rashid Khan,46,20,,,
1,10,13,Ajinkya Rahane,st Wriddhiman Saha b Sai Kishore,12,12,,,
1,12,13,Ruturaj Gaikwad,c Wriddhiman Saha b Spencer Johnson,46,36,,,
1,18,13,Shivam Dube,c Vijay Shankar b Rashid Khan,51,23,,,
1,19,13,Ravindra Jadeja,ro (Vijay Shankar),7,3,,,
1,19,13,Sameer Rizwi,c David Miller b Mohit Sharma,14,6,,,
2,2,35,Shubman Gill,lbw Deepak Chahar,8,5,,,
2,4,35,Wriddhiman Saha,c Tushar Deshpande b Deepak Chahar,21,17,,,
2,7,35,Vijay Shankar,c MS Dhoni b Daryl Mitchell,12,12,,,
2,11,35,David Miller,c Ajinkya Rahane b Tushar Deshpande,21,16,,,
2,14,35,Sai Sudharsan,c Sameer Rizwi b Matheesha Pathirana,37,31,,,
2,15,35,Azmatullah Omarzai,c Rachin Ravindra b Tushar Deshpande,11,10,,,
2,16,35,Rashid Khan,c Rachin Ravindra b Mustafizur Rahman,1,2,,,
