MatchID,BattingTeamID,InningsNo,StrikerID,Striker,NonStrikerID,PartnershipTotal,StrikerRuns,StrikerBalls,Extras,NonStrikerRuns,NonStrikerBalls,MatchMaxOver,MatchMinOver,NonStriker,@I := 0,RowNumber
1354,19,1,2018-wicb00000000002-47ea5a6ae99a11,Virat Kohli,2019-100mb00000000094-1e8fa14543ee11,41,3,4,3,35,23,4.3,0.1,Faf Du Plessis,0,1
1354,19,1,2019-100mb00000000094-1e8fa14543ee11,Faf Du Plessis,2018-wicb00000000002-47ea5a6ae99a11,41,35,23,3,3,4,4.3,0.1,Virat Kohli,0,2
1354,19,1,2021-100mb00000000597-a0edfee691e511,Rajat Patidar,2018-wicb00000000002-47ea5a6ae99a11,0,0,3,0,0,0,4.6,4.4,Virat Kohli,0,3
1354,19,1,2018-wicb00000000002-47ea5a6ae99a11,Virat Kohli,2021-100mb00000000597-a0edfee691e511,0,0,0,0,0,3,4.6,4.4,Rajat Patidar,0,4
1354,19,1,2018-100mb00000000028-acc7d0a3e99d11,Glenn Maxwell,2018-wicb00000000002-47ea5a6ae99a11,1,0,1,0,1,2,5.3,5.1,Virat Kohli,0,5
1354,19,1,2018-wicb00000000002-47ea5a6ae99a11,Virat Kohli,2018-100mb00000000028-acc7d0a3e99d11,1,1,2,0,0,1,5.3,5.1,Glenn Maxwell,0,6
1354,19,1,2020-100mb00000000550-247665a42ff311,Cameron Green,2018-wicb00000000002-47ea5a6ae99a11,35,18,21,0,17,14,11.2,5.4,Virat Kohli,0,7
1354,19,1,2018-wicb00000000002-47ea5a6ae99a11,Virat Kohli,2020-100mb00000000550-247665a42ff311,35,17,14,0,18,21,11.2,5.4,Cameron Green,0,8
1354,19,1,2020-100mb00000000550-247665a42ff311,Cameron Green,2020-100mb00000000534-1ea324c4639911,1,0,1,0,1,1,11.4,11.3,Anuj Rawat,0,9
1354,19,1,2020-100mb00000000534-1ea324c4639911,Anuj Rawat,2020-100mb00000000550-247665a42ff311,1,1,1,0,0,1,11.4,11.3,Cameron Green,0,10
1354,19,1,2018-100mb00000000013-1031ba8ae99c11,Dinesh Karthik,2020-100mb00000000534-1ea324c4639911,95,38,26,10,47,24,19.6,11.5,Anuj Rawat,0,11
1354,19,1,2020-100mb00000000534-1ea324c4639911,Anuj Rawat,2018-100mb00000000013-1031ba8ae99c11,95,47,24,10,38,26,19.6,11.5,Dinesh Karthik,0,12
1354,13,2,2019-100mb00000000102-28e7fca043fc11,Ruturaj Gaikwad,2021-100mb00000000724-7645abdd460011,38,15,15,1,22,9,3.6,0.1,Rachin Ravindra,0,1
1354,13,2,2021-100mb00000000724-7645abdd460011,Rachin Ravindra,2019-100mb00000000102-28e7fca043fc11,38,22,9,1,15,15,3.6,0.1,Ruturaj Gaikwad,0,2
1354,13,2,2021-100mb00000000724-7645abdd460011,Rachin Ravindra,2018-100mb00000000044-e03a43dbf88a11,33,15,6,1,17,12,6.6,4.1,Ajinkya Rahane,0,3
1354,13,2,2018-100mb00000000044-e03a43dbf88a11,Ajinkya Rahane,2021-100mb00000000724-7645abdd460011,33,17,12,1,15,6,6.6,4.1,Rachin Ravindra,0,4
1354,13,2,2018-100mb00000000044-e03a43dbf88a11,Ajinkya Rahane,2019-100mb00000000083-a7fea83029c211,28,10,7,1,17,13,10.2,7.1,Daryl Mitchell,0,5
1354,13,2,2019-100mb00000000083-a7fea83029c211,Daryl Mitchell,2018-100mb00000000044-e03a43dbf88a11,28,17,13,1,10,7,10.2,7.1,Ajinkya Rahane,0,6
1354,13,2,2019-100mb00000000211-dc1f6a2544bb11,Shivam Dube,2019-100mb00000000083-a7fea83029c211,11,6,8,0,5,5,12.3,10.3,Daryl Mitchell,0,7
1354,13,2,2019-100mb00000000083-a7fea83029c211,Daryl Mitchell,2019-100mb00000000211-dc1f6a2544bb11,11,5,5,0,6,8,12.3,10.3,Shivam Dube,0,8
1354,13,2,2018-100mb00000000046-06b5ba89f88b11,Ravindra Jadeja,2019-100mb00000000211-dc1f6a2544bb11,66,25,17,13,28,20,18.4,12.4,Shivam Dube,0,9
1354,13,2,2019-100mb00000000211-dc1f6a2544bb11,Shivam Dube,2018-100mb00000000046-06b5ba89f88b11,66,28,20,13,25,17,18.4,12.4,Ravindra Jadeja,0,10
1355,14,1,2019-100mb00000000214-df216bed44bc11,David Warner,2018-100mb00000000040-7f15f6c7f88a11,39,11,8,8,20,12,3.2,0.1,Mitchell Marsh,0,1
1355,14,1,2018-100mb00000000040-7f15f6c7f88a11,Mitchell Marsh,2019-100mb00000000214-df216bed44bc11,39,20,12,8,11,8,3.2,0.1,David Warner,0,2
1355,14,1,2019-100mb00000000214-df216bed44bc11,David Warner,2019-100mb00000000268-22e2e3987add11,35,18,13,0,17,15,7.6,3.3,Shai Hope,0,3
1355,14,1,2019-100mb00000000268-22e2e3987add11,Shai Hope,2019-100mb00000000214-df216bed44bc11,35,17,15,0,18,13,7.6,3.3,David Warner,0,4
1355,14,1,2019-100mb00000000268-22e2e3987add11,Shai Hope,2018-100mb00000000018-6e65e6f7e99c11,20,16,10,0,4,6,10.4,8.1,Rishabh Pant,0,5
1355,14,1,2018-100mb00000000018-6e65e6f7e99c11,Rishabh Pant,2019-100mb00000000268-22e2e3987add11,20,4,6,0,16,10,10.4,8.1,Shai Hope,0,6
1355,14,1,2019-100mb00000000219-05e95a2044c011,Ricky Bhui,2018-100mb00000000018-6e65e6f7e99c11,17,3,5,0,14,7,12.4,10.5,Rishabh Pant,0,7
1355,14,1,2018-100mb00000000018-6e65e6f7e99c11,Rishabh Pant,2019-100mb00000000219-05e95a2044c011,17,14,7,0,3,5,12.4,10.5,Ricky Bhui,0,8
1355,14,1,2019-100mb00000000219-05e95a2044c011,Ricky Bhui,2022-100mb00000001017-3e376712cc7911,0,0,2,0,0,2,13.2,12.5,Tristan Stubbs,0,9
1355,14,1,2022-100mb00000001017-3e376712cc7911,Tristan Stubbs,2019-100mb00000000219-05e95a2044c011,0,0,2,0,0,2,13.2,12.5,Ricky Bhui,0,10
1355,14,1,2019-100mb00000000110-79ae08f5449411,Axar Patel,2022-100mb00000001017-3e376712cc7911,17,12,8,0,5,6,15.4,13.3,Tristan Stubbs,0,11
1355,14,1,2022-100mb00000001017-3e376712cc7911,Tristan Stubbs,2019-100mb00000000110-79ae08f5449411,17,5,6,0,12,8,15.4,13.3,Axar Patel,0,12
1355,14,1,2022-100mb00000001535-6fd8867c54e911,Sumit Kumar,2019-100mb00000000110-79ae08f5449411,10,1,4,0,9,5,17.1,15.5,Axar Patel,0,13
1355,14,1,2019-100mb00000000110-79ae08f5449411,Axar Patel,2022-100mb00000001535-6fd8867c54e911,10,9,5,0,1,4,17.1,15.5,Sumit Kumar,0,14
1355,14,1,2022-100mb00000001535-6fd8867c54e911,Sumit Kumar,2022-100mb00000001580-2e206f715b5511,9,1,5,2,6,3,18.3,17.2,Abishek Porel,0,15
1355,14,1,2022-100mb00000001580-2e206f715b5511,Abishek Porel,2022-100mb00000001535-6fd8867c54e911,9,6,3,2,1,5,18.3,17.2,Sumit Kumar,0,16
1355,14,1,2022-100mb00000001580-2e206f715b5511,Abishek Porel,2018-100mb00000000014-227bc550e99c11,27,26,7,0,1,2,19.6,18.4,Kuldeep Yadav,0,17
