MatchID,BattingTeamID,InningsNo,Ones,Twos,Threes,Fours,Sixes
1354,19,1,48,6,0,16,6
1354,13,2,40,10,2,10,9
1355,14,1,42,4,0,15,9
1355,15,2,51,7,0,20,4
1356,16,1,44,10,0,13,14
1356,20,2,41,9,0,12,15
1357,18,1,57,11,0,10,11
1357,77,2,55,6,0,11,8
1358,35,1,48,14,0,14,4
1358,17,2,41,8,0,15,7
1359,15,1,42,9,0,15,8
1359,19,2,36,8,0,18,6
1360,13,1,50,8,0,16,11
1360,35,2,46,8,0,13,3
1363,19,1,46,11,0,11,11
1363,16,2,41,8,0,9,13
1362,18,1,50,4,0,15,10
1362,14,2,52,7,0,15,7
1361,20,1,53,9,1,19,18
1361,17,2,47,10,0,12,20
1364,77,1,46,13,0,15,10
1364,15,2,48,3,0,15,10
1365,20,1,47,12,1,12,6
1365,35,2,60,8,0,13,6
1366,14,1,48,7,0,16,9
1366,13,2,50,7,0,13,7
1367,17,1,32,14,0,10,3
1367,18,2,31,4,0,14,3
1368,77,1,43,2,0,10,14
1368,19,2,40,5,0,11,8
1371,13,1,51,10,0,14,6
1371,20,2,40,12,0,12,8
1369,16,1,36,9,0,22,18
1369,14,2,28,4,0,12,11
1370,35,1,52,9,2,21,5
1370,15,2,41,13,0,18,8
1372,19,1,58,8,0,14,7
1372,18,2,43,12,1,20,6
1373,17,1,43,7,1,19,14
1373,14,2,45,8,1,18,11
1374,77,1,56,7,1,11,6
1374,35,2,46,6,0,9,4
1404,16,1,42,7,0,11,4
1404,13,2,40,8,0,14,4
1405,20,1,35,10,0,18,8
1405,15,2,41,8,0,17,8
1406,18,1,50,11,0,16,8
1406,35,2,54,15,0,20,4
1407,19,1,39,9,1,15,11
1407,17,2,28,3,0,18,15
1408,77,1,47,15,0,17,2
1408,14,2,35,10,1,14,8
1410,77,1,49,5,0,13,7
1410,16,2,28,2,0,21,4
1409,15,1,59,4,0,9,6
1409,18,2,48,10,1,12,5
1411,13,1,40,8,0,19,11
1411,17,2,45,5,0,19,8
1412,20,1,46,9,0,19,22
1412,19,2,44,6,0,24,16
1413,35,1,27,7,0,8,1
1413,14,2,10,2,0,9,6
1414,16,1,40,6,0,24,9
1414,18,2,40,8,0,20,12
1415,17,1,53,6,0,14,10
1415,15,2,40,5,0,10,12
1416,13,1,50,12,0,14,7
1416,77,2,51,7,0,18,5
1417,20,1,47,5,0,18,22
1417,14,2,38,4,1,22,9
1418,16,1,43,3,1,27,7
1418,19,2,30,8,0,16,17
1419,15,1,44,8,0,12,5
1419,35,2,49,9,0,16,2
1420,17,1,51,7,0,14,8
1420,18,2,47,4,0,17,9
1423,19,1,63,8,0,18,8
1423,20,2,49,9,0,10,9
1422,14,1,41,5,0,18,16
1422,35,2,48,8,0,22,10
1424,16,1,36,8,0,22,18
1424,15,2,36,8,0,15,24
1421,13,1,44,13,0,19,10
1421,77,2,48,10,0,19,10
1426,77,1,49,17,1,20,2
1426,18,2,48,7,1,19,9
1425,14,1,46,4,0,22,17
1425,17,2,51,3,1,20,15
1427,35,1,55,7,0,15,10
1427,19,2,38,6,0,12,16
1428,13,1,55,10,0,20,8
1428,20,2,57,7,0,9,4
1429,14,1,38,4,0,16,5
1429,16,2,32,6,1,16,7
1430,17,1,44,7,2,12,4
1430,77,2,44,8,0,14,3
1431,13,1,56,6,0,13,4
1431,15,2,39,8,0,17,5
1432,20,1,41,5,0,13,15
1432,18,2,39,12,0,19,8
1433,16,1,38,11,0,12,9
1433,17,2,37,9,0,11,6
1435,13,1,55,5,2,15,5
1435,15,2,42,5,0,12,5
1434,35,1,36,3,0,17,5
1434,19,2,24,3,0,18,8
1436,16,1,44,8,0,21,13
1436,77,2,38,5,0,10,7
1437,20,1,54,10,1,13,5
1437,17,2,26,3,0,21,6
1440,19,1,45,5,2,19,16
1440,15,2,31,5,0,23,7
1441,35,1,53,14,0,15,13
1441,13,2,43,5,0,16,12
1438,14,1,52,4,0,22,12
1438,18,2,42,1,0,16,13
1442,16,1,33,4,0,14,9
1442,17,2,29,5,0,13,6
1439,77,1,53,10,0,16,4
1439,20,2,12,2,0,16,14
1443,18,1,52,10,0,7,6
1443,13,2,49,8,0,11,5
0,0,0,0,0,0,0,0
1444,19,1,49,11,0,10,11
1444,14,2,40,8,0,12,5
1446,14,1,41,12,1,18,10
1446,77,2,37,11,0,16,10
1447,18,1,40,9,0,18,2
1447,15,2,46,5,0,13,6
1449,77,1,45,5,0,16,14
1449,17,2,39,6,0,17,11
0,0,0,0,0,0,0,0
1450,19,1,46,6,0,14,16
1450,13,2,61,4,1,14,8
1451,15,1,46,9,0,17,12
1451,20,2,48,5,0,14,14
0,0,0,0,0,0,0,0
1453,20,1,51,5,1,13,6
1453,16,2,23,3,0,16,10
1454,19,1,52,8,0,13,8
1454,18,2,51,2,1,20,5
1455,20,1,49,10,0,11,9
1455,18,2,42,5,0,13,5
1456,20,1,38,6,0,8,3
1456,16,2,19,4,0,10,6
